"","tool","run","parameter","moment","value"
"1","nm7","1","prob","text","1 phase1 2 CMT like 1004 but diff. initial on V3"
"2","nm7","1","min","status","0"
"3","nm7","1","ofv","estimate","2760.84241850239"
"4","nm7","1","OMEGA1.1","estimate","0.188595"
"5","nm7","1","OMEGA1.1","prse",NA
"6","nm7","1","OMEGA2.1","estimate","0"
"7","nm7","1","OMEGA2.1","prse",NA
"8","nm7","1","OMEGA2.2","estimate","0.112992"
"9","nm7","1","OMEGA2.2","prse",NA
"10","nm7","1","OMEGA3.1","estimate","0"
"11","nm7","1","OMEGA3.1","prse",NA
"12","nm7","1","OMEGA3.2","estimate","0"
"13","nm7","1","OMEGA3.2","prse",NA
"14","nm7","1","OMEGA3.3","estimate","0.0854714"
"15","nm7","1","OMEGA3.3","prse",NA
"16","nm7","1","SIGMA1.1","estimate","0.0640717"
"17","nm7","1","SIGMA1.1","prse",NA
"18","nm7","1","THETA1","estimate","7.98893"
"19","nm7","1","THETA1","prse",NA
"20","nm7","1","THETA2","estimate","19.892"
"21","nm7","1","THETA2","prse",NA
"22","nm7","1","THETA3","estimate","0.0650249"
"23","nm7","1","THETA3","prse",NA
"24","nm7","1","THETA4","estimate","3.35627"
"25","nm7","1","THETA4","prse",NA
"26","nm7","1","THETA5","estimate","123.566"
"27","nm7","1","THETA5","prse",NA
"28","nm7","1","THETA6","estimate","1.18258"
"29","nm7","1","THETA6","prse",NA
"30","nm7","1","THETA7","estimate","1.30879"
"31","nm7","1","THETA7","prse",NA
"32","nm7","2","prob","text","2 phase1 2 CMT like 1004 but diff. initial on V3"
"33","nm7","2","min","status","0"
"34","nm7","2","ofv","estimate","2198.50646580399"
"35","nm7","2","OMEGA1.1","estimate","0.15732"
"36","nm7","2","OMEGA1.1","prse",NA
"37","nm7","2","OMEGA2.1","estimate","0"
"38","nm7","2","OMEGA2.1","prse",NA
"39","nm7","2","OMEGA2.2","estimate","0.176537"
"40","nm7","2","OMEGA2.2","prse",NA
"41","nm7","2","OMEGA3.1","estimate","0"
"42","nm7","2","OMEGA3.1","prse",NA
"43","nm7","2","OMEGA3.2","estimate","0"
"44","nm7","2","OMEGA3.2","prse",NA
"45","nm7","2","OMEGA3.3","estimate","0.0950369"
"46","nm7","2","OMEGA3.3","prse",NA
"47","nm7","2","SIGMA1.1","estimate","0.0658486"
"48","nm7","2","SIGMA1.1","prse",NA
"49","nm7","2","THETA1","estimate","7.63673"
"50","nm7","2","THETA1","prse",NA
"51","nm7","2","THETA2","estimate","24.1761"
"52","nm7","2","THETA2","prse",NA
"53","nm7","2","THETA3","estimate","0.0705524"
"54","nm7","2","THETA3","prse",NA
"55","nm7","2","THETA4","estimate","4.14105"
"56","nm7","2","THETA4","prse",NA
"57","nm7","2","THETA5","estimate","97.4902"
"58","nm7","2","THETA5","prse",NA
"59","nm7","2","THETA6","estimate","0.956565"
"60","nm7","2","THETA6","prse",NA
"61","nm7","2","THETA7","estimate","2.36981"
"62","nm7","2","THETA7","prse",NA
"63","nm7","3","prob","text","3 phase1 2 CMT like 1004 but diff. initial on V3"
"64","nm7","3","min","status","0"
"65","nm7","3","ofv","estimate","2822.85680806125"
"66","nm7","3","OMEGA1.1","estimate","0.150349"
"67","nm7","3","OMEGA1.1","prse",NA
"68","nm7","3","OMEGA2.1","estimate","0"
"69","nm7","3","OMEGA2.1","prse",NA
"70","nm7","3","OMEGA2.2","estimate","0.12542"
"71","nm7","3","OMEGA2.2","prse",NA
"72","nm7","3","OMEGA3.1","estimate","0"
"73","nm7","3","OMEGA3.1","prse",NA
"74","nm7","3","OMEGA3.2","estimate","0"
"75","nm7","3","OMEGA3.2","prse",NA
"76","nm7","3","OMEGA3.3","estimate","0.0729088"
"77","nm7","3","OMEGA3.3","prse",NA
"78","nm7","3","SIGMA1.1","estimate","0.0683954"
"79","nm7","3","SIGMA1.1","prse",NA
"80","nm7","3","THETA1","estimate","9.15198"
"81","nm7","3","THETA1","prse",NA
"82","nm7","3","THETA2","estimate","22.8034"
"83","nm7","3","THETA2","prse",NA
"84","nm7","3","THETA3","estimate","0.0645346"
"85","nm7","3","THETA3","prse",NA
"86","nm7","3","THETA4","estimate","3.21481"
"87","nm7","3","THETA4","prse",NA
"88","nm7","3","THETA5","estimate","121.86"
"89","nm7","3","THETA5","prse",NA
"90","nm7","3","THETA6","estimate","0.937231"
"91","nm7","3","THETA6","prse",NA
"92","nm7","3","THETA7","estimate","1.88593"
"93","nm7","3","THETA7","prse",NA
"94","nm7","4","prob","text","4 phase1 2 CMT like 1004 but diff. initial on V3"
"95","nm7","4","min","status","0"
"96","nm7","4","ofv","estimate","2565.03538541116"
"97","nm7","4","OMEGA1.1","estimate","0.185418"
"98","nm7","4","OMEGA1.1","prse",NA
"99","nm7","4","OMEGA2.1","estimate","0"
"100","nm7","4","OMEGA2.1","prse",NA
"101","nm7","4","OMEGA2.2","estimate","0.116769"
"102","nm7","4","OMEGA2.2","prse",NA
"103","nm7","4","OMEGA3.1","estimate","0"
"104","nm7","4","OMEGA3.1","prse",NA
"105","nm7","4","OMEGA3.2","estimate","0"
"106","nm7","4","OMEGA3.2","prse",NA
"107","nm7","4","OMEGA3.3","estimate","0.12432"
"108","nm7","4","OMEGA3.3","prse",NA
"109","nm7","4","SIGMA1.1","estimate","0.0668087"
"110","nm7","4","SIGMA1.1","prse",NA
"111","nm7","4","THETA1","estimate","9.56138"
"112","nm7","4","THETA1","prse",NA
"113","nm7","4","THETA2","estimate","20.9145"
"114","nm7","4","THETA2","prse",NA
"115","nm7","4","THETA3","estimate","0.076007"
"116","nm7","4","THETA3","prse",NA
"117","nm7","4","THETA4","estimate","3.77166"
"118","nm7","4","THETA4","prse",NA
"119","nm7","4","THETA5","estimate","103.13"
"120","nm7","4","THETA5","prse",NA
"121","nm7","4","THETA6","estimate","1.02867"
"122","nm7","4","THETA6","prse",NA
"123","nm7","4","THETA7","estimate","1.47186"
"124","nm7","4","THETA7","prse",NA
"125","nm7","5","prob","text","5 phase1 2 CMT like 1004 but diff. initial on V3"
"126","nm7","5","min","status","0"
"127","nm7","5","ofv","estimate","2380.04791390424"
"128","nm7","5","OMEGA1.1","estimate","0.201776"
"129","nm7","5","OMEGA1.1","prse",NA
"130","nm7","5","OMEGA2.1","estimate","0"
"131","nm7","5","OMEGA2.1","prse",NA
"132","nm7","5","OMEGA2.2","estimate","0.123672"
"133","nm7","5","OMEGA2.2","prse",NA
"134","nm7","5","OMEGA3.1","estimate","0"
"135","nm7","5","OMEGA3.1","prse",NA
"136","nm7","5","OMEGA3.2","estimate","0"
"137","nm7","5","OMEGA3.2","prse",NA
"138","nm7","5","OMEGA3.3","estimate","0.100495"
"139","nm7","5","OMEGA3.3","prse",NA
"140","nm7","5","SIGMA1.1","estimate","0.0675455"
"141","nm7","5","SIGMA1.1","prse",NA
"142","nm7","5","THETA1","estimate","8.36964"
"143","nm7","5","THETA1","prse",NA
"144","nm7","5","THETA2","estimate","21.2404"
"145","nm7","5","THETA2","prse",NA
"146","nm7","5","THETA3","estimate","0.0685654"
"147","nm7","5","THETA3","prse",NA
"148","nm7","5","THETA4","estimate","3.69634"
"149","nm7","5","THETA4","prse",NA
"150","nm7","5","THETA5","estimate","104.416"
"151","nm7","5","THETA5","prse",NA
"152","nm7","5","THETA6","estimate","0.914796"
"153","nm7","5","THETA6","prse",NA
"154","nm7","5","THETA7","estimate","1.97656"
"155","nm7","5","THETA7","prse",NA
"156","nm7","6","prob","text","6 phase1 2 CMT like 1004 but diff. initial on V3"
"157","nm7","6","min","status","0"
"158","nm7","6","ofv","estimate","2236.11480883602"
"159","nm7","6","OMEGA1.1","estimate","0.180029"
"160","nm7","6","OMEGA1.1","prse",NA
"161","nm7","6","OMEGA2.1","estimate","0"
"162","nm7","6","OMEGA2.1","prse",NA
"163","nm7","6","OMEGA2.2","estimate","0.117827"
"164","nm7","6","OMEGA2.2","prse",NA
"165","nm7","6","OMEGA3.1","estimate","0"
"166","nm7","6","OMEGA3.1","prse",NA
"167","nm7","6","OMEGA3.2","estimate","0"
"168","nm7","6","OMEGA3.2","prse",NA
