"","tool","run","parameter","moment","value"
"169","nm7","6","OMEGA3.3","estimate","0.101856"
"170","nm7","6","OMEGA3.3","prse",NA
"171","nm7","6","SIGMA1.1","estimate","0.07829"
"172","nm7","6","SIGMA1.1","prse",NA
"173","nm7","6","THETA1","estimate","9.09701"
"174","nm7","6","THETA1","prse",NA
"175","nm7","6","THETA2","estimate","20.6853"
"176","nm7","6","THETA2","prse",NA
"177","nm7","6","THETA3","estimate","0.0716118"
"178","nm7","6","THETA3","prse",NA
"179","nm7","6","THETA4","estimate","3.89009"
"180","nm7","6","THETA4","prse",NA
"181","nm7","6","THETA5","estimate","94.2567"
"182","nm7","6","THETA5","prse",NA
"183","nm7","6","THETA6","estimate","1.07903"
"184","nm7","6","THETA6","prse",NA
"185","nm7","6","THETA7","estimate","1.16319"
"186","nm7","6","THETA7","prse",NA
"187","nm7","7","prob","text","7 phase1 2 CMT like 1004 but diff. initial on V3"
"188","nm7","7","min","status","0"
"189","nm7","7","ofv","estimate","2562.12486891296"
"190","nm7","7","OMEGA1.1","estimate","0.327275"
"191","nm7","7","OMEGA1.1","prse",NA
"192","nm7","7","OMEGA2.1","estimate","0"
"193","nm7","7","OMEGA2.1","prse",NA
"194","nm7","7","OMEGA2.2","estimate","0.176644"
"195","nm7","7","OMEGA2.2","prse",NA
"196","nm7","7","OMEGA3.1","estimate","0"
"197","nm7","7","OMEGA3.1","prse",NA
"198","nm7","7","OMEGA3.2","estimate","0"
"199","nm7","7","OMEGA3.2","prse",NA
"200","nm7","7","OMEGA3.3","estimate","0.0767474"
"201","nm7","7","OMEGA3.3","prse",NA
"202","nm7","7","SIGMA1.1","estimate","0.0703442"
"203","nm7","7","SIGMA1.1","prse",NA
"204","nm7","7","THETA1","estimate","10.0529"
"205","nm7","7","THETA1","prse",NA
"206","nm7","7","THETA2","estimate","23.6788"
"207","nm7","7","THETA2","prse",NA
"208","nm7","7","THETA3","estimate","0.0687462"
"209","nm7","7","THETA3","prse",NA
"210","nm7","7","THETA4","estimate","4.43348"
"211","nm7","7","THETA4","prse",NA
"212","nm7","7","THETA5","estimate","139.819"
"213","nm7","7","THETA5","prse",NA
"214","nm7","7","THETA6","estimate","1.05855"
"215","nm7","7","THETA6","prse",NA
"216","nm7","7","THETA7","estimate","1.78881"
"217","nm7","7","THETA7","prse",NA
"218","nm7","8","prob","text","8 phase1 2 CMT like 1004 but diff. initial on V3"
"219","nm7","8","min","status","0"
"220","nm7","8","ofv","estimate","2388.93125222799"
"221","nm7","8","OMEGA1.1","estimate","0.243006"
"222","nm7","8","OMEGA1.1","prse",NA
"223","nm7","8","OMEGA2.1","estimate","0"
"224","nm7","8","OMEGA2.1","prse",NA
"225","nm7","8","OMEGA2.2","estimate","0.11929"
"226","nm7","8","OMEGA2.2","prse",NA
"227","nm7","8","OMEGA3.1","estimate","0"
"228","nm7","8","OMEGA3.1","prse",NA
"229","nm7","8","OMEGA3.2","estimate","0"
"230","nm7","8","OMEGA3.2","prse",NA
"231","nm7","8","OMEGA3.3","estimate","0.0763929"
"232","nm7","8","OMEGA3.3","prse",NA
"233","nm7","8","SIGMA1.1","estimate","0.061677"
"234","nm7","8","SIGMA1.1","prse",NA
"235","nm7","8","THETA1","estimate","8.21021"
"236","nm7","8","THETA1","prse",NA
"237","nm7","8","THETA2","estimate","25.6328"
"238","nm7","8","THETA2","prse",NA
"239","nm7","8","THETA3","estimate","0.0657621"
"240","nm7","8","THETA3","prse",NA
"241","nm7","8","THETA4","estimate","4.08697"
"242","nm7","8","THETA4","prse",NA
"243","nm7","8","THETA5","estimate","121.756"
"244","nm7","8","THETA5","prse",NA
"245","nm7","8","THETA6","estimate","1.1265"
"246","nm7","8","THETA6","prse",NA
"247","nm7","8","THETA7","estimate","2.37344"
"248","nm7","8","THETA7","prse",NA
"249","nm7","9","prob","text","9 phase1 2 CMT like 1004 but diff. initial on V3"
"250","nm7","9","min","status","0"
"251","nm7","9","ofv","estimate","2493.49516645065"
"252","nm7","9","OMEGA1.1","estimate","0.187825"
"253","nm7","9","OMEGA1.1","prse",NA
"254","nm7","9","OMEGA2.1","estimate","0"
"255","nm7","9","OMEGA2.1","prse",NA
"256","nm7","9","OMEGA2.2","estimate","0.147172"
"257","nm7","9","OMEGA2.2","prse",NA
"258","nm7","9","OMEGA3.1","estimate","0"
"259","nm7","9","OMEGA3.1","prse",NA
"260","nm7","9","OMEGA3.2","estimate","0"
"261","nm7","9","OMEGA3.2","prse",NA
"262","nm7","9","OMEGA3.3","estimate","0.107854"
"263","nm7","9","OMEGA3.3","prse",NA
"264","nm7","9","SIGMA1.1","estimate","0.0705496"
"265","nm7","9","SIGMA1.1","prse",NA
"266","nm7","9","THETA1","estimate","9.34189"
"267","nm7","9","THETA1","prse",NA
"268","nm7","9","THETA2","estimate","22.8651"
"269","nm7","9","THETA2","prse",NA
"270","nm7","9","THETA3","estimate","0.067912"
"271","nm7","9","THETA3","prse",NA
"272","nm7","9","THETA4","estimate","3.79509"
"273","nm7","9","THETA4","prse",NA
"274","nm7","9","THETA5","estimate","92.3966"
"275","nm7","9","THETA5","prse",NA
"276","nm7","9","THETA6","estimate","1.10189"
"277","nm7","9","THETA6","prse",NA
"278","nm7","9","THETA7","estimate","1.59232"
"279","nm7","9","THETA7","prse",NA
"280","nm7","10","prob","text","10 phase1 2 CMT like 1004 but diff. initial on V3"
"281","nm7","10","min","status","0"
"282","nm7","10","ofv","estimate","2734.99924992991"
"283","nm7","10","OMEGA1.1","estimate","0.191492"
"284","nm7","10","OMEGA1.1","prse",NA
"285","nm7","10","OMEGA2.1","estimate","0"
"286","nm7","10","OMEGA2.1","prse",NA
"287","nm7","10","OMEGA2.2","estimate","0.0947485"
"288","nm7","10","OMEGA2.2","prse",NA
"289","nm7","10","OMEGA3.1","estimate","0"
"290","nm7","10","OMEGA3.1","prse",NA
"291","nm7","10","OMEGA3.2","estimate","0"
"292","nm7","10","OMEGA3.2","prse",NA
"293","nm7","10","OMEGA3.3","estimate","0.0751036"
"294","nm7","10","OMEGA3.3","prse",NA
"295","nm7","10","SIGMA1.1","estimate","0.0582831"
"296","nm7","10","SIGMA1.1","prse",NA
"297","nm7","10","THETA1","estimate","9.85489"
"298","nm7","10","THETA1","prse",NA
"299","nm7","10","THETA2","estimate","26.1078"
"300","nm7","10","THETA2","prse",NA
"301","nm7","10","THETA3","estimate","0.0736399"
"302","nm7","10","THETA3","prse",NA
"303","nm7","10","THETA4","estimate","4.41333"
"304","nm7","10","THETA4","prse",NA
"305","nm7","10","THETA5","estimate","119.735"
"306","nm7","10","THETA5","prse",NA
"307","nm7","10","THETA6","estimate","0.836765"
"308","nm7","10","THETA6","prse",NA
"309","nm7","10","THETA7","estimate","1.85115"
"310","nm7","10","THETA7","prse",NA
"311","nm7","11","prob","text","11 phase1 2 CMT like 1004 but diff. initial on V3"
"312","nm7","11","min","status","0"
"313","nm7","11","ofv","estimate","2757.2423329719"
"314","nm7","11","OMEGA1.1","estimate","0.188275"
"315","nm7","11","OMEGA1.1","prse",NA
"316","nm7","11","OMEGA2.1","estimate","0"
"317","nm7","11","OMEGA2.1","prse",NA
"318","nm7","11","OMEGA2.2","estimate","0.0455356"
"319","nm7","11","OMEGA2.2","prse",NA
"320","nm7","11","OMEGA3.1","estimate","0"
"321","nm7","11","OMEGA3.1","prse",NA
"322","nm7","11","OMEGA3.2","estimate","0"
"323","nm7","11","OMEGA3.2","prse",NA
"324","nm7","11","OMEGA3.3","estimate","0.110099"
"325","nm7","11","OMEGA3.3","prse",NA
"326","nm7","11","SIGMA1.1","estimate","0.0482248"
"327","nm7","11","SIGMA1.1","prse",NA
"328","nm7","11","THETA1","estimate","7.19161"
"329","nm7","11","THETA1","prse",NA
"330","nm7","11","THETA2","estimate","25.1065"
"331","nm7","11","THETA2","prse",NA
"332","nm7","11","THETA3","estimate","0.0821139"
"333","nm7","11","THETA3","prse",NA
"334","nm7","11","THETA4","estimate","4.72224"
"335","nm7","11","THETA4","prse",NA
"336","nm7","11","THETA5","estimate","99.5872"
"337","nm7","11","THETA5","prse",NA
"338","nm7","11","THETA6","estimate","1.08031"
"339","nm7","11","THETA6","prse",NA
"340","nm7","11","THETA7","estimate","1.87728"
"341","nm7","11","THETA7","prse",NA
"342","nm7","12","prob","text","12 phase1 2 CMT like 1004 but diff. initial on V3"
"343","nm7","12","min","status","0"
"344","nm7","12","ofv","estimate","2762.70845751241"
"345","nm7","12","OMEGA1.1","estimate","0.19789"
"346","nm7","12","OMEGA1.1","prse",NA
"347","nm7","12","OMEGA2.1","estimate","0"
"348","nm7","12","OMEGA2.1","prse",NA
"349","nm7","12","OMEGA2.2","estimate","0.158397"
"350","nm7","12","OMEGA2.2","prse",NA
"351","nm7","12","OMEGA3.1","estimate","0"
"352","nm7","12","OMEGA3.1","prse",NA
"353","nm7","12","OMEGA3.2","estimate","0"
"354","nm7","12","OMEGA3.2","prse",NA
"355","nm7","12","OMEGA3.3","estimate","0.0926469"
"356","nm7","12","OMEGA3.3","prse",NA
"357","nm7","12","SIGMA1.1","estimate","0.0643828"
"358","nm7","12","SIGMA1.1","prse",NA
"359","nm7","12","THETA1","estimate","8.19378"
"360","nm7","12","THETA1","prse",NA
"361","nm7","12","THETA2","estimate","22.8054"
"362","nm7","12","THETA2","prse",NA
"363","nm7","12","THETA3","estimate","0.0644377"
"364","nm7","12","THETA3","prse",NA
"365","nm7","12","THETA4","estimate","3.35374"
"366","nm7","12","THETA4","prse",NA
"367","nm7","12","THETA5","estimate","121.656"
"368","nm7","12","THETA5","prse",NA
"369","nm7","12","THETA6","estimate","1.36556"
"370","nm7","12","THETA6","prse",NA
"371","nm7","12","THETA7","estimate","1.83354"
"372","nm7","12","THETA7","prse",NA
"373","nm7","13","prob","text","13 phase1 2 CMT like 1004 but diff. initial on V3"
"374","nm7","13","min","status","0"
"375","nm7","13","ofv","estimate","2449.07313087253"
"376","nm7","13","OMEGA1.1","estimate","0.171162"
"377","nm7","13","OMEGA1.1","prse",NA
"378","nm7","13","OMEGA2.1","estimate","0"
"379","nm7","13","OMEGA2.1","prse",NA
"380","nm7","13","OMEGA2.2","estimate","0.086247"
"381","nm7","13","OMEGA2.2","prse",NA
"382","nm7","13","OMEGA3.1","estimate","0"
"383","nm7","13","OMEGA3.1","prse",NA
"384","nm7","13","OMEGA3.2","estimate","0"
"385","nm7","13","OMEGA3.2","prse",NA
"386","nm7","13","OMEGA3.3","estimate","0.1239"
"387","nm7","13","OMEGA3.3","prse",NA
"388","nm7","13","SIGMA1.1","estimate","0.0612453"
"389","nm7","13","SIGMA1.1","prse",NA
"390","nm7","13","THETA1","estimate","7.43612"
"391","nm7","13","THETA1","prse",NA
"392","nm7","13","THETA2","estimate","21.7622"
"393","nm7","13","THETA2","prse",NA
"394","nm7","13","THETA3","estimate","0.0737886"
"395","nm7","13","THETA3","prse",NA
"396","nm7","13","THETA4","estimate","4.06415"
"397","nm7","13","THETA4","prse",NA
"398","nm7","13","THETA5","estimate","94.8435"
"399","nm7","13","THETA5","prse",NA
"400","nm7","13","THETA6","estimate","1.13036"
"401","nm7","13","THETA6","prse",NA
"402","nm7","13","THETA7","estimate","1.89674"
"403","nm7","13","THETA7","prse",NA
"404","nm7","14","prob","text","14 phase1 2 CMT like 1004 but diff. initial on V3"
"405","nm7","14","min","status","0"
"406","nm7","14","ofv","estimate","2214.90886234044"
"407","nm7","14","OMEGA1.1","estimate","0.186996"
"408","nm7","14","OMEGA1.1","prse",NA
"409","nm7","14","OMEGA2.1","estimate","0"
"410","nm7","14","OMEGA2.1","prse",NA
"411","nm7","14","OMEGA2.2","estimate","0.104523"
"412","nm7","14","OMEGA2.2","prse",NA
"413","nm7","14","OMEGA3.1","estimate","0"
"414","nm7","14","OMEGA3.1","prse",NA
"415","nm7","14","OMEGA3.2","estimate","0"
"416","nm7","14","OMEGA3.2","prse",NA
"417","nm7","14","OMEGA3.3","estimate","0.101054"
"418","nm7","14","OMEGA3.3","prse",NA
"419","nm7","14","SIGMA1.1","estimate","0.0680253"
"420","nm7","14","SIGMA1.1","prse",NA
"421","nm7","14","THETA1","estimate","9.16796"
"422","nm7","14","THETA1","prse",NA
"423","nm7","14","THETA2","estimate","21.5208"
"424","nm7","14","THETA2","prse",NA
"425","nm7","14","THETA3","estimate","0.0630898"
"426","nm7","14","THETA3","prse",NA
"427","nm7","14","THETA4","estimate","3.57174"
"428","nm7","14","THETA4","prse",NA
"429","nm7","14","THETA5","estimate","105.971"
"430","nm7","14","THETA5","prse",NA
"431","nm7","14","THETA6","estimate","0.948446"
"432","nm7","14","THETA6","prse",NA
"433","nm7","14","THETA7","estimate","1.42121"
"434","nm7","14","THETA7","prse",NA
"435","nm7","15","prob","text","15 phase1 2 CMT like 1004 but diff. initial on V3"
"436","nm7","15","min","status","0"
"437","nm7","15","ofv","estimate","2738.73342071709"
"438","nm7","15","OMEGA1.1","estimate","0.165872"
"439","nm7","15","OMEGA1.1","prse",NA
"440","nm7","15","OMEGA2.1","estimate","0"
"441","nm7","15","OMEGA2.1","prse",NA
"442","nm7","15","OMEGA2.2","estimate","0.13592"
"443","nm7","15","OMEGA2.2","prse",NA
"444","nm7","15","OMEGA3.1","estimate","0"
"445","nm7","15","OMEGA3.1","prse",NA
"446","nm7","15","OMEGA3.2","estimate","0"
"447","nm7","15","OMEGA3.2","prse",NA
"448","nm7","15","OMEGA3.3","estimate","0.0926145"
"449","nm7","15","OMEGA3.3","prse",NA
"450","nm7","15","SIGMA1.1","estimate","0.0694669"
"451","nm7","15","SIGMA1.1","prse",NA
"452","nm7","15","THETA1","estimate","7.98107"
"453","nm7","15","THETA1","prse",NA
"454","nm7","15","THETA2","estimate","22.0872"
"455","nm7","15","THETA2","prse",NA
"456","nm7","15","THETA3","estimate","0.0736908"
"457","nm7","15","THETA3","prse",NA
"458","nm7","15","THETA4","estimate","3.75632"
"459","nm7","15","THETA4","prse",NA
"460","nm7","15","THETA5","estimate","111.116"
"461","nm7","15","THETA5","prse",NA
"462","nm7","15","THETA6","estimate","0.975654"
"463","nm7","15","THETA6","prse",NA
"464","nm7","15","THETA7","estimate","2.02271"
"465","nm7","15","THETA7","prse",NA
"466","nm7","16","prob","text","16 phase1 2 CMT like 1004 but diff. initial on V3"
"467","nm7","16","min","status","0"
"468","nm7","16","ofv","estimate","2571.49615073317"
"469","nm7","16","OMEGA1.1","estimate","0.153825"
"470","nm7","16","OMEGA1.1","prse",NA
"471","nm7","16","OMEGA2.1","estimate","0"
"472","nm7","16","OMEGA2.1","prse",NA
"473","nm7","16","OMEGA2.2","estimate","0.184547"
"474","nm7","16","OMEGA2.2","prse",NA
"475","nm7","16","OMEGA3.1","estimate","0"
"476","nm7","16","OMEGA3.1","prse",NA
"477","nm7","16","OMEGA3.2","estimate","0"
"478","nm7","16","OMEGA3.2","prse",NA
"479","nm7","16","OMEGA3.3","estimate","0.0481827"
"480","nm7","16","OMEGA3.3","prse",NA
"481","nm7","16","SIGMA1.1","estimate","0.0562731"
"482","nm7","16","SIGMA1.1","prse",NA
"483","nm7","16","THETA1","estimate","7.7613"
"484","nm7","16","THETA1","prse",NA
"485","nm7","16","THETA2","estimate","21.93"
"486","nm7","16","THETA2","prse",NA
"487","nm7","16","THETA3","estimate","0.0699418"
"488","nm7","16","THETA3","prse",NA
"489","nm7","16","THETA4","estimate","3.71051"
"490","nm7","16","THETA4","prse",NA
"491","nm7","16","THETA5","estimate","91.9916"
"492","nm7","16","THETA5","prse",NA
"493","nm7","16","THETA6","estimate","0.956247"
"494","nm7","16","THETA6","prse",NA
"495","nm7","16","THETA7","estimate","2.23841"
"496","nm7","16","THETA7","prse",NA
"497","nm7","17","prob","text","17 phase1 2 CMT like 1004 but diff. initial on V3"
"498","nm7","17","min","status","0"
"499","nm7","17","ofv","estimate","2259.20953314819"
"500","nm7","17","OMEGA1.1","estimate","0.22486"
"501","nm7","17","OMEGA1.1","prse",NA
"502","nm7","17","OMEGA2.1","estimate","0"
"503","nm7","17","OMEGA2.1","prse",NA
"504","nm7","17","OMEGA2.2","estimate","0.106356"
"505","nm7","17","OMEGA2.2","prse",NA
"506","nm7","17","OMEGA3.1","estimate","0"
"507","nm7","17","OMEGA3.1","prse",NA
"508","nm7","17","OMEGA3.2","estimate","0"
"509","nm7","17","OMEGA3.2","prse",NA
"510","nm7","17","OMEGA3.3","estimate","0.123263"
"511","nm7","17","OMEGA3.3","prse",NA
"512","nm7","17","SIGMA1.1","estimate","0.0639251"
"513","nm7","17","SIGMA1.1","prse",NA
"514","nm7","17","THETA1","estimate","8.7497"
"515","nm7","17","THETA1","prse",NA
"516","nm7","17","THETA2","estimate","21.2961"
"517","nm7","17","THETA2","prse",NA
"518","nm7","17","THETA3","estimate","0.0731562"
"519","nm7","17","THETA3","prse",NA
"520","nm7","17","THETA4","estimate","3.87017"
"521","nm7","17","THETA4","prse",NA
"522","nm7","17","THETA5","estimate","136.591"
"523","nm7","17","THETA5","prse",NA
"524","nm7","17","THETA6","estimate","1.1614"
"525","nm7","17","THETA6","prse",NA
"526","nm7","17","THETA7","estimate","0.583506"
"527","nm7","17","THETA7","prse",NA
"528","nm7","18","prob","text","18 phase1 2 CMT like 1004 but diff. initial on V3"
"529","nm7","18","min","status","0"
"530","nm7","18","ofv","estimate","2328.74891948222"
"531","nm7","18","OMEGA1.1","estimate","0.195018"
"532","nm7","18","OMEGA1.1","prse",NA
"533","nm7","18","OMEGA2.1","estimate","0"
"534","nm7","18","OMEGA2.1","prse",NA
"535","nm7","18","OMEGA2.2","estimate","0.147182"
"536","nm7","18","OMEGA2.2","prse",NA
"537","nm7","18","OMEGA3.1","estimate","0"
"538","nm7","18","OMEGA3.1","prse",NA
"539","nm7","18","OMEGA3.2","estimate","0"
"540","nm7","18","OMEGA3.2","prse",NA
"541","nm7","18","OMEGA3.3","estimate","0.0936414"
"542","nm7","18","OMEGA3.3","prse",NA
"543","nm7","18","SIGMA1.1","estimate","0.0681538"
"544","nm7","18","SIGMA1.1","prse",NA
"545","nm7","18","THETA1","estimate","8.33559"
"546","nm7","18","THETA1","prse",NA
"547","nm7","18","THETA2","estimate","20.2834"
"548","nm7","18","THETA2","prse",NA
"549","nm7","18","THETA3","estimate","0.0679584"
"550","nm7","18","THETA3","prse",NA
"551","nm7","18","THETA4","estimate","3.55154"
"552","nm7","18","THETA4","prse",NA
"553","nm7","18","THETA5","estimate","88.5747"
"554","nm7","18","THETA5","prse",NA
"555","nm7","18","THETA6","estimate","1.01088"
"556","nm7","18","THETA6","prse",NA
"557","nm7","18","THETA7","estimate","1.78415"
"558","nm7","18","THETA7","prse",NA
"559","nm7","19","prob","text","19 phase1 2 CMT like 1004 but diff. initial on V3"
"560","nm7","19","min","status","0"
"561","nm7","19","ofv","estimate","2362.81211874459"
"562","nm7","19","OMEGA1.1","estimate","0.196977"
"563","nm7","19","OMEGA1.1","prse",NA
"564","nm7","19","OMEGA2.1","estimate","0"
"565","nm7","19","OMEGA2.1","prse",NA
"566","nm7","19","OMEGA2.2","estimate","0.131618"
"567","nm7","19","OMEGA2.2","prse",NA
"568","nm7","19","OMEGA3.1","estimate","0"
"569","nm7","19","OMEGA3.1","prse",NA
"570","nm7","19","OMEGA3.2","estimate","0"
"571","nm7","19","OMEGA3.2","prse",NA
"572","nm7","19","OMEGA3.3","estimate","0.0997632"
"573","nm7","19","OMEGA3.3","prse",NA
"574","nm7","19","SIGMA1.1","estimate","0.0777063"
"575","nm7","19","SIGMA1.1","prse",NA
"576","nm7","19","THETA1","estimate","7.99041"
"577","nm7","19","THETA1","prse",NA
